RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
157,Quinton Patton,SF,WR,170.0,+0,0.0,+0,0.1,
158,Greg Salas,Det,WR,170.0,+0,0.0,+0,0.1,
159,Devin Street,Dal,WR,170.0,+0,0.0,+0,0.1,
160,Darrius Heyward-Bey,Pit,WR,170.0,+0,0.0,+0,0.1,
161,Andre Caldwell,Den,WR,170.0,+0,0.0,+0,0.1,
162,T.J. Houshmandzadeh,FA,WR,170.0,+0,0.0,+0,0.1,
163,Brandon Stokley,Bal,WR,170.0,+0,0.0,+0,0.1,
164,Jason Avant,KC,WR,170.0,+0,0.0,+0,0.1,
165,Brandon Tate,Cin,WR,170.0,+0,0.0,+0,0.1,
166,Darvin Adams,FA,WR,170.0,+0,0.0,+0,0.1,
167,Rishard Matthews,Mia,WR,170.0,+0,0.0,+0,0.1,
168,Tevin Reese,Cin,WR,170.0,+0,0.0,+0,0.1,
169,Sidney Rice,Sea,WR,170.0,+0,0.0,+0,0.1,
170,Jerry Rice Jr.,Wsh,WR,170.0,+0,0.0,+0,0.1,
171,Seantavius Jones,NO,WR,170.0,+0,0.0,+0,0.1,
172,James Wright*,Cin,WR,170.0,+0,0.0,+0,0.1,
173,Corey Fuller,Det,WR,170.0,+0,0.0,+0,0.1,
174,Antwan Goodley,Dal,WR,170.0,+0,0.0,+0,0.1,
175,Chris Hogan,Buf,WR,170.0,+0,0.0,+0,0.1,
176,Josh Harper,Oak,WR,170.0,+0,0.0,+0,0.1,
177,Joe Adams,Hou,WR,170.0,+0,0.0,+0,0.1,
178,Kenbrell Thompkins,Oak,WR,170.0,+0,0.0,+0,0.1,
179,Donald Driver,FA,WR,170.0,+0,0.0,+0,0.1,
180,Brandon Gibson,NE,WR,170.0,+0,0.0,+0,0.1,
181,Seyi Ajirotutu,Phi,WR,170.0,+0,0.0,+0,0.1,
182,Adam Thielen,Min,WR,170.0,+0,0.0,+0,0.1,
183,Mario Alford,Cin,WR,170.0,+0,0.0,+0,0.1,
184,Mike Williams,Buf,WR,170.0,+0,0.0,+0,0.1,
185,Marquise Goodwin,Buf,WR,170.0,+0,0.0,+0,0.1,
186,Mario Manningham,NYG,WR,170.0,+0,0.0,+0,0.1,
187,Preston Parker,NYG,WR,170.0,+0,0.0,+0,0.1,
188,Donnie Avery,KC,WR,170.0,+0,0.0,+0,0.0,
189,Tori Gurley,Buf,WR,170.0,+0,0.0,+0,0.0,
190,Joshua Cribbs,Ind,WR,170.0,+0,0.0,+0,0.0,
191,Kris Adams,NYG,WR,170.0,+0,0.0,+0,0.0,
192,Dezmin Lewis,Buf,WR,170.0,+0,0.0,+0,0.0,
193,Deontay Greenberry,Dal,WR,170.0,+0,0.0,+0,0.0,
194,Damaris Johnson,Hou,WR,170.0,+0,0.0,+0,0.0,
195,Chris Givens,StL,WR,170.0,+0,0.0,+0,0.0,
196,Dres Anderson,SF,WR,170.0,+0,0.0,+0,0.0,
197,A.J. Jenkins,Dal,WR,170.0,+0,0.0,+0,0.0,
198,Jerome Simpson,SF,WR,170.0,+0,0.0,+0,0.0,
199,Kevin Norwood,Sea,WR,170.0,+0,0.0,+0,0.0,
200,Ryan Broyles,Det,WR,170.0,+0,0.0,+0,0.0,
