RANK,PLAYER,TEAM,POS,AVG PICK,7 DAY +/-,AVG VALUE,7 DAY +/-,%OWN,
170,Anthony Allen,Bal,RB,170.0,+0,0.0,+0,0.0,
171,Kahlil Bell,GB,RB,170.0,+0,0.0,+0,0.0,
172,Clinton Portis,FA,RB,170.0,+0,0.0,+0,0.0,
173,Terrence Magee,Bal,RB,170.0,+0,0.0,+0,0.0,
174,Felix Jones,Pit,RB,170.0,+0,0.0,+0,0.0,
175,Marcus Thigpen,Buf,RB,170.0,+0,0.0,+0,0.0,
176,Tyler Varga,Ind,RB,170.0,+0,0.0,+0,0.0,
177,Michael Burton,Det,RB,170.0,+0,0.0,+0,0.0,
178,Isaiah Pead,StL,RB,170.0,+0,0.0,+0,0.0,
179,Dion Lewis,NE,RB,170.0,+0,0.0,+0,0.0,
180,Leon Washington,Ten,RB,170.0,+0,0.0,+0,0.0,
181,Trey Watts,StL,RB,170.0,+0,0.0,+0,0.0,
182,Joey Iosefa,TB,RB,170.0,+0,0.0,+0,0.0,
183,Marion Grice,Ari,RB,170.0,+0,0.0,+0,0.0,
184,Tim Hightower,NO,RB,170.0,+0,0.0,+0,0.0,
185,Bruce Miller,SF,RB,170.0,+0,0.0,+0,0.0,
186,Isaac Redman,Pit,RB,170.0,+0,0.0,+0,0.0,
187,Orson Charles,NO,RB,170.0,+0,0.0,+0,0.0,
188,David Wilson,NYG,RB,170.0,+0,0.0,+0,0.0,
189,James Develin,NE,RB,170.0,+0,0.0,+0,0.0,
190,Thomas Jones,FA,RB,170.0,+0,0.0,+0,0.0,
191,Madison Hedgecock,FA,RB,170.0,+0,0.0,+0,0.0,
192,Michael Robinson,Sea,RB,170.0,+0,0.0,+0,0.0,
193,Mike Bell,FA,RB,170.0,+0,0.0,+0,0.0,
194,Kyshoen Jarrett,Wsh,RB,170.0,+0,0.0,+0,0.0,
195,Terrance Cobb,Jac,RB,170.0,+0,0.0,+0,0.0,
196,Michael Bush,Ari,RB,170.0,+0,0.0,+0,0.0,
197,Ronnie Brown,SD,RB,170.0,+0,0.0,+0,0.0,
198,Michael Turner,FA,RB,170.0,+0,0.0,+0,0.0,
199,Joe Banyard,Min,RB,170.0,+0,0.0,+0,0.0,
200,Rashard Mendenhall,Ari,RB,170.0,+0,0.0,+0,0.0,
